"","ID","REGION","SUBREGION","COUNTRY","LOCATION","LAT","LON","MONTH","YEAR","DEPTH","SEVERITY_CODE","BLEACHING_SEVERITY","CORAL_FAMILY","CORAL_SPECIES","PERCENTAGE_AFFECTED","BLEACHING_DURATION","MORTALITY_CODE","MORTALITY","RECOVERY_CODE","RECOVERY","SURVEY_TYPE","SURVEY_AREA","WATER_TEMPERATURE","OTHER_FACTORS","REMARKS","SOURCE","REFERENCE_CODE","COUNTRY_CODE"
"11",491,"","","St. Croix","Long Reef, St Croix, US Virgin Islands",17.7,-64.9,7,2001,"",1,"Low","Siderastridae","Siderastrea siderea, Palythoa","","",NA,"",NA,"","","","","","50% of colonies show mild bleaching","Coral Listserver",0,"VIR_CRO"
"12",29435,"","","St. Helena","Tuo village",-10.267,166.279,8,2011,"1.5",0,"No Bleaching","","","","",NA,"",NA,"","Reef Check survey","","Air temperature 30 deg C, water temperature 28 deg C ","","","Reef Check submitted by Noelle van der Straaten",NA,"SHN"
"13",822,"","","St. Johnson & Thomas","Caret Bay Reef, St Thomas, US Virgin Islands",18.35,-65,NA,1998,"",2,"Medium","","","","",1,"minor",NA,"","","","","","Moderate bleaching;m41% bleaching","GCRMN 2000. Chapter 14",0,"VIR_JOH"
"14",821,"","","St. Johnson & Thomas","Lameshur Reef, St Johns, US Virgin Islands",18.3,-64.7,NA,1998,"",2,"Medium","","","","",1,"minor",NA,"","","","","","Moderate bleaching; 47% bleaching","GCRMN 2000. Chapter 14",0,"VIR_JOH"
"15",820,"","","St. Johnson & Thomas","Newfound Reef, St Johns, US Virgin Islands",18.31,-64.77,NA,1998,"",2,"Medium","","","","",1,"minor",NA,"","","","","","Moderate bleaching; 43% bleaching","GCRMN 2000. Chapter 14",0,"VIR_JOH"
"16",824,"","","St. Johnson & Thomas","Saba Island, ST Thomas, US Virgin Islands",18.35,-65,NA,1998,"",2,"Medium","Faviidae","Montastrea","","",NA,"",2,"50% recovered full pigmentation 6 months later","","","","","Moderate bleaching","GCRMN 2000. Chapter 14",0,"VIR_JOH"
"17",278,"","","United Kingdom","Blenheim Bank",-5.25,72.47,NA,1998,"",3,"HIGH","","","","",3,">70%",NA,"","","","","",">70%","Sheppard,CRC",0,"GBR"
"18",2097,"","","United Kingdom","Chagos",-6.1,71.7333333333333,4,1998,"",3,"HIGH","","","","",NA,"Reefs in the Chagos Archipelago in the Indian Ocean suffered up to 95% coral mortality in
many areas.",NA,"2-4 years after 1998, there is some new recruitment in all reef areas, from
reef flats to at least 30 m depth. This is encouraging, but most of the new corals have
settled on dead Acropora tables, which are eroding and collapsing, thereby threatening
their survival. Others have settled on reef slopes, which are being damaged by large
quantities of mobile coral rubble that is abrading the new recruits. In addition, there will
be a shift in the species composition of the reefs as more faviids are being recruited than
before the 1998 mortality. (GCRMN 2002)","","","",""," A 1996 survey showed that only 12% of the substrate on the seaward reefs is live coral today. Upto 40% was unidentifiable dead substrate. In 1996, an average of about 75% of the substrate was living corals and soft corals.","ReefBase and GCRMN 2002",9809,"GBR"
"19",280,"","","United Kingdom","Egmont",-6.6635,71.3504,NA,1998,"",3,"HIGH","","","","",3,">70%",NA,"","","","","",">70%","Sheppard,CRC",0,"GBR"
"20",279,"","","United Kingdom","Great Chagos Bank",-6.2348,71.9986,NA,1998,"",3,"HIGH","","","","",3,">70%",NA,"","","","","",">70%","Sheppard,CRC",0,"GBR"
"21",276,"","","United Kingdom","Peros Banhos Atoll",-5.35,71.7505,NA,1998,"",3,"HIGH","","","","",3,">70%",NA,"","","","","",">70%","Sheppard,CRC",0,"GBR"
"22",277,"","","United Kingdom","Salomon Atoll",-5.3484,72.2442,NA,1998,"",3,"HIGH","","","","",3,">70%",NA,"","","","","",">70%","Sheppard,CRC",0,"GBR"
"23",226,"","","United Kingdom","Soufriere, Saint Lucia",13.8716,-61.0808,NA,1998,"",3,"HIGH","","","","",NA,"",NA,"","","","","","100%","Wilkinson, Clive",0,"GBR"
"24",3915,"","","Zanzibar Islands","Bawe Island",-6.246,39.166,4,2003,"",1,"Low","","Acropora sp., Stylophora sp. and Porites sp.,  Pocillopora, Montipora, Hydnophora, Echinopora","","",0,"",NA,"","","","","","Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"TZA_ZAN"
"25",3914,"","","Zanzibar Islands","Changu",-6.426,39.346,4,2003,"",1,"Low","","Acropora sp., Stylophora sp. and Porites sp.,  Pocillopora, Montipora, Hydnophora, Echinopora","","",0,"",NA,"","","","","","Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"TZA_ZAN"
"26",3913,"","","Zanzibar Islands","Chumbe Island Marine Park",-6.271,39.175,4,2003,"",1,"Low","","Acropora sp., Stylophora sp. and Porites sp., Pocillopora, Montipora, Hydnophora, Echinopora","","",0,"",NA,"","","","","","Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"TZA_ZAN"
"27",3916,"","","Zanzibar Islands","Kizimkizi",-6.2742,39.2848,4,2003,"",1,"Low","","Acropora sp., Stylophora sp. and Porites sp.,  Pocillopora, Montipora, Hydnophora, Echinopora","","",0,"",NA,"","","","","","Acropora and Stylophora are affected (but present in
low percentages in most areas) whilst more massive
colonies (Porites) are also showing signs of stress
and bleaching.
Many species have paled or bleached to the extent of showing underlying shades of pink/purple (Pocillopora, Montipora), green/yellow (Hydnophora, Echinopora, Pocillopora) and other colours that might be indicative of fluorescent colours, rather than bleaching a full white.","Oliver Taylor, Ecological Consultant, Institute of Marine Science, Zanzibar
Coral-list@coral.aoml.noaa.gov 4/21/2003 and
David Obura Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"TZA_ZAN"
"28",2055,"Africa","Eastern Africa","Kenya","Diani",-4.25,39.6166666666667,NA,1998,"",-1,"Severity Unknown","","","","",NA,"",NA,"","","","",""," Extent Unspecified","ReefBase",583,"KEN"
"29",2052,"Africa","Eastern Africa","Kenya","Kenya",-3.36666666666667,40.4833333333333,NA,1987,"",-1,"Severity Unknown","","","","",NA,"",NA,"","","","",""," Extent Unspecified","ReefBase",388,"KEN"
"30",2053,"Africa","Eastern Africa","Kenya","Kenya",-3.36666666666667,40.4833333333333,3,1998,"2-20",3,"HIGH","","","50-90","",NA,"",NA,"","","","",""," Bleaching and mortality were highest in shallow habitats and pools, where water stagnation occurs, or where corals are regularly exposed to outflow of shallow (warm) lagoon waters and/or to mangrove and sediment influence.","ReefBase",9959,"KEN"
"31",4036,"Africa","Eastern Africa","Kenya","Kijembe Reef, Mombasa",-4.073,39.69,3,2005,"",1,"Low","","Pocillopora eydouxi, P. verrucosa, P. damicornis, Porites, Platygyra, Echinopora, Galaxea,
Goniopora, Astreopora, Montipora and Hydnophora","","",NA,"",NA,"","","","","","There is currently a mild coral bleaching event occurring on reefs adjacent to Mombasa, Kenya. My observations come from Kijembe Reef (a lagoonal patch reef), just north of the coastal town of Mombasa. NOAA satellite monitoring currently shows the accumulated thermal stress in the
waters around Kenya and Tanzania to be 3 DHW.
<br>
Pocillopora is the main group to be affected (P. eydouxi, P. verrucosa and
P. damicornis) with normal, pale and fully bleached colonies observed. Other
genera showing pale tissue include Porites, Platygyra, Echinopora, Galaxea,
Goniopora, Astreopora, Montipora and Hydnophora (one individual only).
Acropora species at the site are all normal, and have only been affected by
crown-of-thorns starfish which are present in elevated numbers at the site.
<br>No colonies appeared to have died from bleaching to date.
The SE monsoon winds, high cloud cover and rains we have been experiencing should help to reduce bleaching stress.","Sangeeta Mangubhai [smangubhai@africaonline.co.ke] in coral list 26/4/2005",NA,"KEN"
"32",7280,"Africa","Eastern Africa","Kenya","Kisite",-4.716667,39.366667,4,2010,"1.3-5m",3,"HIGH",""," Acropora, Porites Bra, Galexea astreata, Astreopora, Favites, Goniastrea, Hydnophora, Stylophora, Fungia and pocillopora","66%","",NA,"",NA,"","","","","","15 genera affected by bleaching; Among the dominant genera; Acropora, Porites Bra, Galexea astreata, Astreopora, Favites, Goniastrea, Hydnophora were most affected in a decreasing order of magnitudewhile the rare genera, Stylophora, Fungia and pocillopora were the most affected.
Bleaching response varied across genera and species with branching ones being the most affected.
Previously , coral bleaching was observed in this area","Report submitted by Dr. Jerker Tamelander, Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer :Jelvas Mwaura, Juliet Karisa (	jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)",NA,"KEN"
"33",3918,"Africa","Eastern Africa","Kenya","Kiunga",-1.986,41.383,4,2003,"0.3-1.0m",1,"Low","","Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","10-20%","",NA,"",NA,"","","","","alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.","Paling of coral colonies was first observed in Kiunga during monitoring prior to March 24, however it was so mild that it was not specially noted.  From April 4 in Kiunga, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"KEN"
"34",492,"Africa","Eastern Africa","Kenya","Kiunga MNR",-1.75,41.4833,4,2001,"",3,"HIGH","Pritidae, Dendrophylliidae","Goniopora sp, Turbinaria sp","","",NA,"",NA,"","","","","shorter warm period followed by cooler temperatures alleviated bleaching","95% colonies bleached partially or copmpletly","CORDIO Newsletter 3 May 2001",0,"KEN"
"35",175,"Africa","Eastern Africa","Kenya","Lamu",-2.2456,41.0642,3,1998,"",1,"Low","","","","",NA,"",NA,"significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001)","","","32.5","","","Wilkinson, Clive",0,"KEN"
"36",2046,"Africa","Eastern Africa","Kenya","Lamu",-2.28333333333333,40.9,NA,1998,"",2,"Medium","","","","",NA,"",NA,"","","","","","Moderate bleaching; Bleaching was most extreme in shallow water, but was also 50% or more at 20 m. Coral mortality ranges between 50 to 90%, with reefs now having 1-10% coral cover, with 10-50% of the remaining live corals still bleached in mid-October.","ReefBase",8838,"KEN"
"37",36,"Africa","Eastern Africa","Kenya","Lamu-Kiunga area",-1.7226,41.5222,4,1998,"",2,"Medium","Alcyoniidae","sinularia and alcyonium genera","","",NA,"",NA,"significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001)","","","","","","Coral Listserver",0,"KEN"
"38",248,"Africa","Eastern Africa","Kenya","Malindi",-3.2218,40.1403,12,1998,"",3,"HIGH","","","","",3,"60% of hard corals (90% of soft corals)",NA,"significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001)","","","","","50-90% (along entire Kenya coast) to 20m, with highest mortalities in <2-3m","CORDIO",0,"KEN"
"39",2054,"Africa","Eastern Africa","Kenya","Malindi",-3.23333333333333,40.6666666666667,NA,1998,"",1,"Low","","","","",NA,"",NA,"","","","",""," Coral mortality resulting to a decline in coral coner falling from levels of 30% (southern, deep reefs) and approximately 10% (northern reefs) to about 5% at all sites.","ReefBase",9968,"KEN"
"40",3919,"Africa","Eastern Africa","Kenya","Malindi",-3.215,40.127,4,2003,"0.3-1.0m",1,"Low","","Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","10-20%","",NA,"",NA,"","","","","alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.","From April 8 in Malindi, bleaching was first observed and reported widely.  Following that, pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","David Obura 
Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"KEN"
"41",7284,"Africa","Eastern Africa","Kenya","Mkokoni Coral Garden",1.9614,41.30054,4,2010,"3-6m",3,"HIGH","","pocillopora, porites massive, acropora, favia, favites,echinopora, montipora and coscinarea.","72%","",NA,"",NA,"","","","","","11 genera affected of which pocillopora was the most impacted ith highest colonies being completely bleached.other genera with showed various response of low to moderate bleaching depeding on size, and morphology are porites massive, acropora, favia, favites,echinopora, montipora and coscinarea.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching.
Previously coral bleaching was also observed in this area","Report submitted by Dr. Jerker Tamelander, Manager - Oceans and Climate Change,IUCN Global Marine and Polar Programme . Observer :Jelvas Mwaura and Ali mwachui (kmnrproject@gmail.com)",NA,"KEN"
"42",176,"Africa","Eastern Africa","Kenya","Mombasa",-4,39.75,3,1998,"",3,"HIGH","","","","",3,"50%-90%",NA,"significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001)","","","","","50-100%","Wilkinson, Clive",0,"KEN"
"43",3920,"Africa","Eastern Africa","Kenya","Mombasa Marine Park",-3.985,39.762,4,2003,"0.3-1.0m, 12-15m",1,"Low","","Pocillopora, Montipora, Hydnophora, Echinopora, Pocillopora, Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.","10-20%","",NA,"",NA,"","","","31.2 and 33.4C (Peak at shallow area)","alm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.","Pale, partially bleached and some fully bleached corals were reported widely throughout Kenya. 
Bleaching is mild to moderate rather than severe; colonies are ‘paling’, and all shades of colour from normal to white are observed. In Kenya, most paling and bleaching is on upper surfaces, and the coincidence of high temperatures, calm conditions and spring low tides just prior to bleaching suggest combined effects of these factors rather than an overwhelming dominance of one.
The spatial extent of paling and bleaching amounts to perhaps 10-20% of coral cover and 5-25% or colonies, with most observations made in shallow inner-reef zones (water depth of 0.3-1m at MLW).  Bleaching was also recorded at 12-15m on the fore reef slope off Mombasa, though at lower levels of <5%, and to milder levels than in shallow water.
Most detail on taxonomic incidence of bleaching has come from reports in Kenya, where the most affected genus is Pocillopora, where locally close to 100% of colonies have been observed bleached, and some colonies observed with dead patches (primarily around the branch tips). Interestingly, P. damicornis is less affected than other species, and in one shallow reef flat area is unaffected. After Pocillopora, the most strongly affected genera include Porites, Echinopora, Galaxea and partially affected genera include Platygyra, Acropora, Montipora, various faviids and fungiids, Pavona.
From repeated surveys in the Mombasa area in April/May, it appears that the incidence of bleaching is not increasing, and it remains to be seen to what extent colonies recover or die.  From temperature logger data for Mombasa, the bleaching was only observed at the end of the temperature plateau around April 10, and since then water temperatures have steadily declined.","David Obura
Coral-list@coral.aoml.noaa.gov 5/8/2003",NA,"KEN"
"44",512,"Africa","Eastern Africa","Kenya","Mombasa MNP",-4,39.75,5,2001,"",1,"Low","Pocillopordae","Pocillopora sp","","",NA,"",NA,"","","","","shorter warm period followed by cooler temperatures alleviated bleaching","partial bleaching in some Pocillopora sp","CORDIO Newsletter 3 May 2001",0,"KEN"
"45",7281,"Africa","Eastern Africa","Kenya","Mpunguti",-4.692222,39.409444,4,2010,"1.5-4m",3,"HIGH","","Acropora, Porites Bra, Goniastrea, Favia, Alveopora, Galaxea fascicularis , pocillopora and seriatiopora","58%","",NA,"",NA,"","","","","","16 genera affected. Among the dominant group; Acropora, Porites Bra, Goniastrea, Favia, Alveopora and Galaxea fascicularis were affected while rare group included pocillopora and seriatiopora were the genera affected.
Extensive paling and moderate bleaching among different genera and species","Report submitted by Dr. Jerker Tamelander.Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer :Jelvas Mwaura,Juliet Karisa	 (jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)",NA,"KEN"
"46",7285,"Africa","Eastern Africa","Kenya","Shimo la Tewa",2.04296,41.24666,4,2010,"1.5-4m",3,"HIGH","","pocillopora , Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia","52%","",NA,"",NA,"","","","","","14 genera affected and pocillopora being the most impacted genera. Other genera affected are Acropora, echinopora, favites, tubinaria, goniastrea, platygyra and favia.
The levels of bleaching response differed among different genera and species with pocilopora and porites masive being the dominant and with highest signal of bleaching
Previously coral bleaching was observed in this area","Report submitted by Dr. Jerker Tamelander,  Manager - Oceans and Climate Change, IUCN Global Marine and Polar Programme. Observer : Jelvas Mwaura and Ali mwachui",NA,"KEN"
"47",7283,"Africa","Eastern Africa","Kenya","Sii island corner",-4.666667,39.28333,4,2010,"1.2-2m",3,"HIGH","","Platygyra, Galaxea fascicularis, echinopora, favia, a cropora, leptoria, fungia, stylophora","73%","",NA,"",NA,"","","","","","19 Genera Affected. Among the dominant group, Platygyra, Galaxea fascicularis, echinopora, favia, acropora, leptoria and others were affected while the rare group included fungia, stylophora.
Extensive paling of most corals with the small-sized being the whole bleached colonies.small fungi corals were the most noticeable affected by bleaching.
Previously coral bleaching was also observed in this area","Report submitted by Dr. Jerker Tamelander,  Manager - Oceans and Climate Change. IUCN Global Marine and Polar Programme. Observer : Jelvas Mwaura,Juliet Karisa (	jmwaura@kmfri.co.ke, jkarisa@kmfri.co.ke)",NA,"KEN"
"48",2051,"Africa","Eastern Africa","Kenya","Takaungu",-3.66666666666667,39.8833333333333,NA,1998,"",-1,"Severity Unknown","","","","",NA,"",NA,"","","","","","Low level bleaching. ","ReefBase",388,"KEN"
"49",2058,"Africa","Eastern Africa","Kenya","Watamu",-3.31666666666667,40.1166666666667,NA,1998,"",1,"Low","","","","",NA,"",NA,"","","","",""," Coral mortality resulted to a decline in coral cover falling from levels of 30% (southern, deep reefs) and approximately 10% (northern reefs) to about 5% at all sites.","ReefBase",9968,"KEN"
"50",3907,"Africa","Eastern Africa","Mozambique","Baixo de St. Antonio, Angoche",-16.02,40.13,3,1999,"3-7m",1,"Low","","","<2%","",NA,"",NA,"","Visual assessments and random video photo quadrats","","","","Some evidence (<2%) of current bleaching.
Fringing reef subject to considerable surge and surf at 3-7 m depth with
marked spur and groove formations manifesting the original dune rock
structure. Evidence of bleaching the current year.","Schleyer et al, 1999.  A preliminary assessment of coral bleaching in Mozambique. South African Association for Marine Biological Research Unpublished Report no. 168 PO Box 10712, Marine Parade 4056, Durban, South Africa",14489,"MOZ"
"51",257,"Africa","Eastern Africa","Mozambique","Baixo St Antonio",-16.2032,40.137,NA,1998,"",3,"HIGH","","","","",2,"20%",3,"reasonable recovery by re-growth and new recruitment (CORDIO Newsletter 3 May 2001)","","","","","","CORDIO",0,"MOZ"
"52",2148,"Africa","Eastern Africa","Mozambique","Barreira Vermelha",-26.1,32.8833333333333,NA,1998,"2-5",3,"HIGH","","","","",NA,"",NA,"","","","",""," ","ReefBase",9960,"MOZ"
"53",2327,"Africa","Eastern Africa","Mozambique","Bazaruto Island",-21.6666666666667,35.5,NA,1998,"1-8",2,"Medium","","","20-80","",NA,"",NA,"","","","","","Moderate bleaching","ReefBase",9960,"MOZ"
"54",263,"Africa","Eastern Africa","Mozambique","Cabo das Correntes (Paindane)",-23.7787,35.5125,NA,1998,"",0,"No Bleaching","","","","",0,"Scant evidence of bleaching",NA,"","","","","","","CORDIO",0,"MOZ"
"55",259,"Africa","Eastern Africa","Mozambique","Coral Garden",-21.9045,35.5151,NA,1998,"",0,"No Bleaching","","","","",0,"Little evidence of bleaching, but mortality from COTS, diver damage etc",NA,"","","","","","","CORDIO",0,"MOZ"
